,,Дата отгрузки формирируется (Дата отгрузочного документа в адрес клиента),Номер отгрузки формирируется (№ отгрузочного документа в адрес клиента),Создается автоматом дата создания заказа клиента,Создается автоматом номер заказа клиента,если есть,Создается автоматомзаказчик из заказа клиента,"Создается автоматом из заказа клиента (мало вероятно, что будем пользоваться) лучше реквизиты сразу заложить.",текстовое поле или выпадающий список (азначается нашим менеджером),Загрузка и из заявки  (текстовая форма),Загрузка и из заявки  (текстовая форма),Загрузка и из заявки  (текстовая форма),Загрузка и из заявки  (текстовая форма) для корректировки полей с пометкой факт принажатии на эти поля должно открыться окно заказа и там можно редактировать в арме нельзя (в Идеале)))_ в табличной форме загрузки разлиновка ячеек и нумерация строк в соответсвии с номером строки в части 1с списка товаров,Загрузка и из заявки  (текстовая форма),Загрузка и из заявки  (текстовая форма),Загрузка и из заявки  (текстовая форма),"Наименование товара.менеджер создает позицию на основании счета имеет возможность ее отгрузить, но позиция номенклатурная падает исключительно в папку ""На согласование"" в папку основную товар Нужно перенести заполнив все поля перенос в паку доступен только админу с артикулом, код а-а и прочиви вещами связанными с номенклатурой такая же процедура (всучае если номенклатура по мнения склада не соответствует скдад ставит комментарий на позицию",Артикул,"код привязавется к позиции если она имеет определенного поствщика (на уровне номенклатуры). Соответсвенно в подбор товара можно попасть через: наименование, артикул, код или кнопка подбор когда стоим на этой строке",Привязка к номенклатуре (Нужно или можно заложить краность упаковке или тары) Пример заказли 3 бутылки по 2 литра на складе или в продаже есть только в таре по 5 литров соответсвенно выписаваем 5 или 10 литров в документы на склад приходит задание 2 канистры по 5 литров стандартная функция где то ее видел,Фактическое которое мы хоти отгрузить,"кол-во в наличии на складе этоже поле участвует какое количество мы заказываем у поставщика, если товар в достаточно количестве отображается зеленым, после того как склад заприходовал товар то становится тоже зеленым в случае если стоял резер на него (нужно подумать над алгоритмом. в случае нехватки товара или разных цен строка начинает дробиться. для проценки можно дробить вручную и выбирать какие строки будем покупать.",,,,"назначается будущими кнопками или после если с товаром производит действие склад , в резерв, заказано в пути, нузно забрать, прихлдуется, на складе, готов к отгрузке, отгружен. сопроводается цветом","Цена входа на складе , или цена будущей покупки в слуае отсутсвия на складе проговаривали забыл как можно сделать привязку к позиции например доствка или сопутсвующих расходов",сумма товар на  складе или к закупке. Если выделить отдельные стороки нужно видеть сумму позиций,"тип: нал, без ндс, 5%, 10%, 22%",РРЦ,буха заставим делать (должен контролировать менеджер,"процент в натуральном виде 10% не 1,10 наценки на товар можно заполнять можно оставить пустым и поставить цену сследующей колонке руками или наоборот ( если автоматом будет показывать наценку будет хорошо, Допом подумать что если даем ниже опреденоого процента подсвечивается красным",цена ставиться вручную или заполняется от наценки,сумма автоматом,заполняется автоматом из наличия товара с разбивкой по партиям или ставиться в качестве будущей поставки,Дата ставиться автоматом при формировании документа о приемки  это дата когда склад заприходовал товар,заполняет склад на моменте прихода,заполняет склад на моменте прихода,Территория забора товара у поставщика или доставка Транскортной компанией можно оставить текстовым полем для японимая откуда ждать товар указывается адрес откуда забрать для своих машин и когда можно забрать,Комментарий)))
,0,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,"2,00","2,00","2,00","2,00",,"3,00","3,00","3,00",3,4,5,4,"4,00","4,00",3,6,6,6,8,9
,№ п/п,дата отгрузки,Номер отгрузкуи,"Дата 
заказа",№ заказ внутренний наш,№ заказ клиент,Заказчик ,Договор с заказчиком ,Вид услуги,Срочность (ФАКТ) она же коментарий со стороны заказчика,Машина ГРЗ  (ФАКТ),Территория  (ФАКТ),Наименование (ФАКТ),Артикул  (ФАКТ),кол-во  (ФАКТ),ед. изм. (ФАКТ),Наименование,Артикул ,Код А-А /код поставщика,ед. изм.,Кол-во ,кол-во в наличии на складе,кол-во в резерве того товара который находиться на складе,количество товара заказаннного который едет или еще не заприходовано складом //// вторым числом можно указать количество свободное (тоесть то что сейчас едет к нам и останется  на складе,№ фартиии ФИФО или механизм для выбора какой товар мы возьмем в ручную,статус заявки,Цена,сумма,Форма оплаты,РРЦ,"Оплачено (выствлен счет, счет в оплате, оплачено, оплачено позже будет, постоплатный договор)",Коэфф,,,Поставщик,"Дата 
получения",Дата УПД,№ УПД,Территория отгрузки поставщиком,Комментарий
,7656,2/4/2026,141,2/2/2026,,,,,,,АРМ,АРМ,Размораживатель дизельного топлива на 200л 1л ASTROHIM AC193 Бочка, AC193,"1,00",,Размораживатель дизельного топлива 946мл HI-GEAR,HG4114,063992,,"200,00",,,,,,"2 351,55","470 310,00",,,,,"4 392,00","878 400,00",АЛЬЯНС,2/3/2026,,,,
,7657,2/4/2026,141,2/2/2026,,,,,,,Склад,СКЛАД,Провод АКБ соединительный перемычка L=400мм S=25мм клемма-клемма,OZ-BС4004,"10,00",,Провод АКБ соединительный перемычка L=400мм S=25мм клемма-клемма CARGEN,AX62325,798058,,"10,00",,,,,,"617,32","6 173,20",,,,,"1 424,00","14 240,00",АЛЬЯНС,2/3/2026,,,,
,7658,2/4/2026,141,2/2/2026,,,,,,,Склад,СКЛАД,"Фильтр топливный КАМАЗ,ПАЗ тонкой очистки",KF3485 PR,"20,00",,"Фильтр топливный КАМАЗ, ПАЗ тонкой очистки L382 (аналог WK 950/21) FLEETGUARD",FF5421,645183,,"20,00",,,,,,"915,00","18 300,00",,,,,"1 688,00","33 760,00",АЛЬЯНС,2/3/2026,,,,
,7659,2/4/2026,141,2/2/2026,,,,,,,Склад,СКЛАД,Фильтр топливный КАМАЗ (дв.CUMMINS) MOVELEX FS36253MX,FS36253-MX,"20,00",,Фильтр топливный КАМАЗ (дв.CUMMINS) FLEETGUARD,FS36253,441388,,"20,00",,,,,,"1 396,90","27 938,00",,,,,"2 864,00","57 280,00",АЛЬЯНС,2/3/2026,,,,
,7660,,,2/2/2026,,,,,,,А575ЕС977,СПАК,Стекло двери МОСКВИЧ 3 JAC JS4 OE 5603100U340003,5603100U340003,"1,00",,,,,,"1,00",,,,,,,"0,00",,,,,"0,00","0,00",,,,,,
,7661,2/4/2026,141,2/2/2026,,,,,,,8243НС77,СПАК,Прокладка головки блока Д-245 ЕВРО-3 БЦМ 501003020,50-1003020,"1,00",,Прокладка головки блока Д-245 ЕВРО-3 БЦМ,50-1003020,777858,,"1,00",,,,,,"807,03","807,03",,,,,"1 472,00","1 472,00",АЛЬЯНС,2/3/2026,,,,
,7662,2/4/2026,141,2/2/2026,,,,,,,8243НС77,СПАК,"Указатель давления масла МТЗ,ЛТЗ,ВТЗ 6атм. МТТ-6,14.3830-03 (А) МД219",МД-219,"1,00",,"Указатель давления масла МТЗ, ЛТЗ, ВТЗ 6атм. МТТ-6, 14.3830-03 (А)",МД-219,063856,,"1,00",,,,,,"187,00","187,00",,,,,"608,00","608,00",АЛЬЯНС,2/3/2026,,,,
,7672,2/5/2026,142,2/3/2026,,,,,,,а590се197,СПАК,"Фонарь задний КАМАЗ,МАЗ,УРАЛ левый с проводом ТЕХАВТОСВЕТ", 7452-262,"1,00",,"Фонарь задний КАМАЗ, МАЗ, УРАЛ 24V с проводом левый ТЕХАВТОСВЕТ",7452-262 / 7472.3716-04,622563,,"1,00",,,,,,"1 164,49","1 164,49",,,,,"2 048,00","2 048,00",АЛЬЯНС,2/4/2026,,,КЕТЧЕРСКАЯ,
